"Latitude (decimal degrees):	42.088",,,,,,
"Longitude (decimal degrees):	2.816",,,,,,
"Elevation (m):	99",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	1.0",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0,0,0,10.23,3.31,0
20230101:0110,0,0,0,9.85,3.24,0
20230101:0210,0,0,0,9.4,3.1,0
20230101:0310,0,0,0,9.07,2.97,0
20230101:0410,0,0,0,8.76,2.97,0
20230101:0510,0,0,0,8.61,2.97,0
20230101:0610,0,0,0,8.73,3.03,0
20230101:0710,0,0,0,8.67,2.9,0
20230101:0810,120.25,158.38,7.21,8.72,2.83,0
20230101:0910,421.05,518.53,14.94,10.66,2.55,0
20230101:1010,441.36,549.33,20.78,13.58,2.83,0
20230101:1110,603.43,772.1,24.19,15.73,3.66,0
20230101:1210,620.05,794.19,24.77,16.78,4.34,0
20230101:1310,518.92,655.26,22.44,17.25,4.41,0
20230101:1410,228.13,288.27,17.49,17.2,4.21,0
20230101:1510,82.18,115.64,10.44,16.36,3.79,0
20230101:1610,0,1.81,1.81,15,3.52,0
20230101:1710,0,0,0,13.16,3.31,0
20230101:1810,0,0,0,11.96,3.1,0
20230101:1910,0,0,0,11.22,2.9,0
20230101:2010,0,0,0,10.69,2.76,0
20230101:2110,0,0,0,10.3,2.62,0
20230101:2210,0,0,0,9.9,2.62,0
20230101:2310,0,0,0,9.61,2.62,0
20230102:0010,0,0,0,9.5,2.62,0
20230102:0110,0,0,0,9.5,2.48,0
20230102:0210,0,0,0,9.31,2.48,0
20230102:0310,0,0,0,9.09,2.41,0
20230102:0410,0,0,0,8.77,2.34,0
20230102:0510,0,0,0,8.69,2.28,0
20230102:0610,0,0,0,8.41,2.34,0
20230102:0710,0,0,0,8.5,2.14,0
20230102:0810,45.3,69.12,7.21,8.52,2.07,0
20230102:0910,56.25,82.16,14.96,9.71,2,0
20230102:1010,157.66,201.63,20.83,11.99,2.14,0
20230102:1110,312.26,387.71,24.26,13.44,2.28,0
20230102:1210,395.74,497.65,24.86,14.54,1.79,0
20230102:1310,373.9,478.85,22.55,15.02,0.14,0
20230102:1410,281.42,351.51,17.62,14.86,2.48,0
20230102:1510,84.48,117.45,10.57,14.09,2.62,0
20230102:1610,0,5.43,1.94,13.09,2.14,0
20230102:1710,0,0,0,12.32,1.45,0
20230102:1810,0,0,0,11.69,1.31,0
20230102:1910,0,0,0,11.37,1.86,0
20230102:2010,0,0,0,10.96,2,0
20230102:2110,0,0,0,11.01,1.93,0
20230102:2210,0,0,0,10.58,2.07,0
20230102:2310,0,0,0,10.37,2.14,0
20230103:0010,0,0,0,10.03,2.14,0
20230103:0110,0,0,0,9.42,2.14,0
20230103:0210,0,0,0,9.09,2.07,0
20230103:0310,0,0,0,8.62,2.07,0
20230103:0410,0,0,0,8.22,2,0
20230103:0510,0,0,0,7.69,1.86,0
20230103:0610,0,0,0,7.33,1.72,0
20230103:0710,0,0,0,7.94,1.86,0
20230103:0810,127.85,167.26,7.22,7.87,1.79,0
20230103:0910,76.87,106.44,14.99,9.49,1.24,0
20230103:1010,388.97,484.86,20.88,11.27,0.9,0
20230103:1110,294.56,368.32,24.34,13.19,1.17,0
20230103:1210,456.02,577.27,24.96,14.04,1.66,0
20230103:1310,569.49,735.71,22.67,14.4,1.86,0
20230103:1410,412.04,518.13,17.74,14.48,1.93,0
20230103:1510,211.83,269.76,10.7,13.82,1.72,0
20230103:1610,0.24,6.34,2.08,13.1,1.66,0
20230103:1710,0,0,0,12.44,1.52,0
20230103:1810,0,0,0,11.83,1.45,0
20230103:1910,0,0,0,11.13,1.24,0
20230103:2010,0,0,0,10.67,1.52,0
20230103:2110,0,0,0,10.73,1.66,0
20230103:2210,0,0,0,9.97,1.66,0
20230103:2310,0,0,0,9.46,1.66,0
20230104:0010,0,0,0,8.89,1.72,0
20230104:0110,0,0,0,8.64,1.52,0
20230104:0210,0,0,0,8.29,1.59,0
20230104:0310,0,0,0,7.91,1.59,0
20230104:0410,0,0,0,7.03,1.72,0
20230104:0510,0,0,0,6.42,1.79,0
20230104:0610,0,0,0,5.93,1.86,0
20230104:0710,0,0,0,6.59,1.79,0
20230104:0810,209.4,263.19,7.24,6.46,1.72,0
20230104:0910,407.6,504.2,15.03,8.68,0.97,0
20230104:1010,538.07,695.97,20.94,12.01,0.62,0
20230104:1110,594.43,786.21,24.42,13.34,0.69,0
20230104:1210,605.64,803.16,25.07,14.23,0.97,0
20230104:1310,568.05,745.55,22.79,14.84,1.1,0
20230104:1410,465.8,598.35,17.88,15.02,1.1,0
20230104:1510,308.75,393.59,10.84,14.75,1.24,0
20230104:1610,0.98,8.15,2.22,13.65,1.24,0
20230104:1710,0,0,0,12.06,0.62,0
20230104:1810,0,0,0,11.92,0.34,0
20230104:1910,0,0,0,10.19,1.24,0
20230104:2010,0,0,0,9.15,1.86,0
20230104:2110,0,0,0,8.78,2.07,0
20230104:2210,0,0,0,7.73,2.07,0
20230104:2310,0,0,0,7.1,2,0
20230105:0010,0,0,0,6.57,2,0
20230105:0110,0,0,0,6.17,1.93,0
20230105:0210,0,0,0,5.89,1.93,0
20230105:0310,0,0,0,5.61,1.93,0
20230105:0410,0,0,0,5.28,1.93,0
