date,hour,pvpc_price,surplus_price
2023-01-01,00,0.12,0.05
2023-01-01,01,0.11,0.04
2023-01-01,02,0.10,0.04
2023-01-01,03,0.09,0.03
2023-01-01,04,0.09,0.03
2023-01-01,05,0.10,0.04
2023-01-01,06,0.12,0.05
2023-01-01,07,0.15,0.06
2023-01-01,08,0.18,0.07
2023-01-01,09,0.20,0.08
2023-01-01,10,0.22,0.09
2023-01-01,11,0.25,0.10
2023-01-01,12,0.24,0.09
2023-01-01,13,0.22,0.08
2023-01-01,14,0.20,0.07
2023-01-01,15,0.18,0.06
2023-01-01,16,0.17,0.06
2023-01-01,17,0.19,0.07
2023-01-01,18,0.23,0.09
2023-01-01,19,0.28,0.11
2023-01-01,20,0.30,0.12
2023-01-01,21,0.29,0.11
2023-01-01,22,0.25,0.09
2023-01-01,23,0.18,0.07
